#Open,High,Low,Volume,Close
34.689999,36.290001,34.599998,1963300,36.009998
36.509998,36.59,35.5,1001600,36.09
36,36,34.799999,851500,35.290001
35.279999,35.48,34.779999,571600,35
34.900002,35.889999,34.830002,729300,35.32
35.259998,35.32,34.540001,1015600,34.98
34.98,35.200001,34.57,567000,34.959999
34.939999,35.299999,34.599998,607200,35.150002
34.970001,35.150002,34.299999,522400,34.400002
34.259998,34.630001,33.150002,1170600,34.080002
35.59,38.09,35.040001,3140500,37.400002
37.16,39.950001,37.029999,2539200,37.939999
37.779999,38.439999,37.110001,955000,37.849998
38.189999,38.189999,37.029999,796400,37.330002
37.52,37.939999,36.68,886400,37.240002
37.330002,37.970001,36.529999,1028600,36.580002
36.700001,38.470001,36.669998,1098100,38.009998
35.27,35.490002,34.689999,4481800,35
35.099998,35.439999,34.41,1509400,34.48
34.099998,34.290001,33.099998,1655700,33.150002
33.150002,33.849998,32.099998,1847700,32.459999
33.240002,33.290001,32.009998,1105500,33.09
33.77,34.48,32.919998,1033900,33.439999
33.939999,34.040001,32.849998,649600,33.59
33.41,33.700001,32.09,1099600,32.25
32.43,33.07,32.040001,1115500,32.240002
32.09,32.75,31.530001,823100,32.66
32.75,33.43,32.5,774900,33.16
33.139999,33.73,32.939999,821800,33.16
32.860001,32.970001,31.709999,890800,31.940001
31.82,32.200001,31,674500,31.82
32.07,32.990002,32.07,712200,32.91
32.959999,33.52,32.91,425300,33.490002
33.599998,33.630001,32.91,591000,33.34
33.27,33.360001,32.580002,413900,33.130001
33.130001,34.209999,33.130001,659000,33.779999
33.5,34.389999,33.389999,497300,33.939999
33.91,34,32.130001,841300,32.459999
32.32,32.459999,31.4,1247500,31.83
31.959999,32.580002,31.610001,1158000,32.470001
32.5,32.73,29.370001,3097200,30.190001
30.299999,30.77,29.76,1947900,30.059999
32.970001,34.68,32.400002,5556300,32.959999
32.490002,33.439999,32.16,1221300,32.25
31.92,32.130001,30.049999,1380900,30.059999
30.26,30.959999,29.219999,1585700,29.43
29.58,30.18,28.879999,1257100,29.18
29.299999,29.790001,28.24,1149000,28.57
28.370001,28.459999,26.83,1616500,27.559999
27.58,29.26,27.120001,1475200,28.77
30.1,31.34,30,2366200,30.799999
30.559999,31.049999,29.5,1220400,31.02
31.25,31.25,29.690001,1075600,30.280001
30.16,30.41,29.200001,757000,29.809999
30.01,31.93,30.01,1650000,31.690001
31.08,31.42,30.24,1307200,30.41
30.07,30.290001,28.75,1118700,29.5
28.530001,29.16,27.76,885800,28.15
28.030001,28.41,27.110001,1030900,27.879999
27.84,28.389999,27.559999,630900,27.91
28.200001,29.450001,28.139999,909900,29.219999
29.809999,29.870001,28.85,492100,28.93
28.860001,30.190001,28.15,881100,30.08
30.309999,31,28.959999,636000,29.120001
29.23,29.84,28.809999,569000,29.66
29.549999,30.639999,29.469999,844100,29.77
30.18,30.65,28.620001,872200,29.389999
29.389999,29.950001,28.809999,646800,29.91
29.940001,32.330002,29.5,1256800,31.84
32.02,32.66,31.5,911100,32.09
33.5,34.5,33.209999,3422400,33.779999
34.259998,34.279999,31.84,1891900,32.189999
32.599998,33.98,32.459999,3046600,33.790001
33.939999,34.119999,32.75,1498500,33.110001
32.049999,32.349998,31.389999,2613900,31.610001
31.9,32.450001,31.57,1047200,31.959999
31.9,32.110001,30.620001,914100,31.41
32.799999,32.799999,31,1125800,31.290001
31.35,31.799999,30.190001,1315600,30.4
30.6,31,30.4,947000,30.66
30.809999,31.67,30.799999,1253800,31.23
